Country,parameter,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Afghanistan,HDD_16,461.8,432.1,234.2,100.9,50.72,22.7,8.145,9.331,40.85,97.88,270,465.8,516.5,466.1,328.7,146.4,30.42,10.47,5.682,4.871,24.38,127.7,284.9,525.2,625.7,586.1,392.7,150.6,69.47,22.32,7.337,7.101,38.73,139.9,302.4,537.6,593.3,426.4,302.1,179.3,61.68,13.82,7.008,9.07,16.94,115.4,314.3,515.2,538.1,540.6,345.7,168.1,70.16,16.9,6.723,9.249,17.06,130.2,325.9,459.5,498.5,385,347.5,130.9,49.06,16.3,5.058,10.82,39.08,114.1,326,492.8,479.3,404.2,263,150.1,37.16,11.49,5.929,9.784,14.82,112,294.1,367.7,537.1,443.3,314.2,130.3,31.56,9.35,4.243,7.106,24.96,87.45,279.7,452.4,469.1,372.4,210.6,117.5,63.95,12.64,4.728,6.889,25.06,149.3,282.3,433.5,522.7,474.2,351.6,125.5,56.5,22.45,3.578,6.978,13.41,110.5,342.3,436.8,599.7,407.3,305.5,156.2,53.72,13.23,6.74,5.286,31.46,145.1,348.7,536.8,527.4,296.8,241.5,119.7,45.37,10.82,4.854,10.52,14.38,141.7,295.1,409.7,536.7,423.7,223.9,68.93,38.11,19.91,3.081,15,20.73,115.2,277.8,450.6,645.6,370.5,225.1,134.2,59.89,12.41,6.667,10.54,34.08
Aland Islands,HDD_16,620.2,596.8,566.8,409.7,276,126.9,0.5314,16.87,108.3,273.7,438.2,602.8,538.2,590.3,505.6,366.1,250.6,68.63,0.8503,3.948,61.58,215.9,287.1,386.6,505,538.8,437.4,391.5,251.8,132.7,11.18,9.649,100.7,255.4,322.6,524.8,544.6,468.3,582.9,402.4,201.7,71.08,12.31,3.161,80.24,225.6,318.1,386.9,547.5,403.2,421.7,354.5,256.3,143,11.18,18.47,76.59,215.9,312.5,431.8,455.6,406.2,417.7,343.5,255.6,119.2,19.94,1.662,63.18,221.6,288.5,358.1,580.2,449.1,456.8,372.8,210.6,84.62,2.477,21.03,63.17,266.7,385.3,412.2,480.7,448.1,442,395.6,282.5,125.5,30.98,15.91,87.58,231.4,320.1,404.1,476.7,528.9,557.1,384,178.4,77.48,15.69,3.21,60.1,227.7,309.4,431.3,505.6,414.3,456.7,346.8,256.2,57.74,38.22,2.767,87.52,254.6,328.9,387,371.8,392.3,413.7,340.7,271.2,46.2,18.33,2.912,59.15,183.7,262,367.1,489.8,487.9,448.4,371.8,271.9,30.06,0.09426,19.68,119.2,193.4,338.9,501.3,468.9,433.1,434.2,385.6,243.7,50.63,8.057,4.174,114.9,177,307.2,482.8,454.2,435.9,499.8,387,242.5,72.21,3.109,4.436,26.48
Albania,HDD_16,325.8,269.5,231.5,91.1,29.2,7.448,0.5855,0.1757,8.309,81.05,105.4,292.4,345,268.3,223.9,95.73,36.36,1.799,0.3626,0.08404,1.647,94.05,220.7,291.8,412,362.8,193.9,109.5,28.62,0.9513,0,0,3.56,31.46,110.2,331.5,311.1,253.5,200.3,73.1,17.57,7.982,0.0201,0.01231,6.352,42.16,132.1,316,249.9,192,181.3,114.6,45.27,4.764,0.4713,0.07051,9.44,60.78,120.9,269.6,339.6,287.3,222.6,121.1,13.17,1.722,0.06553,0.02893,3.883,43.44,130.8,302.2,318.5,167.6,194.9,49.53,38.12,2.056,0.1276,0.205,8.495,48.41,172.8,359.6,427.3,209.7,151,110.4,19.68,0.6764,0.3206,0.06917,10.77,68.36,173.4,291.8,296.5,260.8,192,36.13,7.025,2.02,0.03957,0.01564,7.824,22.41,129.7,307.5,396.9,253.4,153.5,92.49,56.15,3.907,0.2686,0.0003545,2.514,20.07,84.21,240.8,334.9,238.7,193.1,107.2,28.31,5.416,0.01289,0.05668,4.055,56.57,159.3,207.4,295.1,230.5,249.8,153.3,19.21,4.71,0.000135,0.06666,4.901,75.44,111.3,291.1,347.2,247,283.8,113.7,18.32,0.3944,0.1989,0.01687,11.31,31.53,117.6,186.4,269.7,271.3,182.9,136.6,19.28,1.376,0.0003989,0.09122,0.4909
Algeria,HDD_16,173.1,122.6,99.49,32.82,21.03,0.03105,0,0,0.1274,24.07,82.53,169,193.5,186.4,118,19.72,6.66,0.4546,0,0,0.01436,8.878,69.73,181.7,229.7,274.9,116.9,66.59,5.378,0,0,0,0.3093,12.63,69.13,172.3,196.3,203.7,90.68,48.69,17.92,0.645,0,0,0.003422,2.426,115.5,196,168.5,131.8,137.4,22.62,6.124,1.988,0,0,0,4.577,43.31,195.8,225.5,204.5,123.3,24.64,5.446,0.002808,0,0,0.1269,8.432,80.38,159.6,144.9,130.2,138.1,33.5,11.84,0.0519,0,0,0.1689,3.017,75.27,149.6,249.6,117.1,75.1,39.22,0.6506,0.007679,0,0,0.03653,7.005,104.9,202.2,174.3,199.7,109.4,47.37,20.11,0.03847,0,0,0.1113,20.37,78.54,156.9,236.2,178.3,108.8,55.01,12.48,0.032,0,0,0.2827,9.54,103.6,126.6,208.7,98.79,88.35,30.76,1.518,0,0,0,0.3015,16.84,53.82,159.6,174.8,85.19,108.2,33.12,0.9548,0,0,0,0,8.663,109.1,161,228.6,133,108.7,56.66,9.165,0,0,0,0.1195,0.2083,46.51,86.92,214.4,163.1,69.37,29.54,12.13,0.1544,0,0,0.000673
American Samoa,HDD_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,HDD_16,0.0005846,0.2464,0,0,0.09781,1.65,0.4285,0.003035,0.000001301,0,0,0.003101,0.01399,0,0.0055,0,0.01713,1.402,1.094,0.02655,0.00001778,0.00000047,0,0,0.001699,0,0.007169,0,0,0.5919,0.6837,0.08738,0.0004138,0.00000186,0,0.002914,0,0,0,0,0,0.2076,0.274,0.0009694,0.000107,0.000001373,0,0,0.02499,0,0,0,0.0163,0.1461,0.08258,0.0006562,0.0001971,0.00003998,0,0,0.0001789,0,0,0,0.0003608,0.1546,0.01515,0.004563,0.0007331,0.000002418,0,0,0,0,0,0,0.05673,0.3807,0.6234,0.0002069,0.00002534,0,0,0,0,0,0,0,0,0.06039,0.08102,0.0002115,0.00003123,0,0,0,0,0,0.004205,0,0,0.5042,0.1605,0.000209,0.0001118,0.001399,0,0,0.001248,0,0,0,0.00005469,0.07356,0.0008806,0.0003877,0.00006094,0,0,0,0,0,0,0,0,0.636,0.8609,0.008526,0.00006277,0.000000129,0,0.0002131,0,0,0,0,0.003652,0.1746,0.2617,0.00122,0.0001776,0.000005186,0,0,0,0.05489,0,0,0.05061,0.4388,0.04773,0.02124,0.0000547,0,0,0,0,0,0,0,0.00002826,0.2182,0.9202,0.01598,0.00009231
Anguilla,HDD_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,HDD_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,HDD_16,5.161,5.615,6.532,43.62,95.86,155.4,220.5,178.8,78.49,40,15.73,8.319,5.625,5.889,12.47,26.07,95.17,177.7,208.8,174.3,62.05,34.06,9.29,6.42,5.06,6.128,12.55,52.45,60.8,166.4,233.1,120.5,64.97,26.72,10.32,7.593,5.404,6.222,19.13,22.36,95.28,151.5,182.7,172.4,117.3,31.38,11.32,5.883,6.199,7.343,15.02,38.11,91.88,163.3,164.1,111.1,50.45,24.23,17.15,8.493,5.012,5.488,8.971,16.41,67.43,132,162.4,96.48,86.86,66.39,14.49,7.746,4.623,4.594,9.369,57.69,136.3,215.4,194.9,116.3,93.93,34.14,15.17,6.808,4.739,4.775,8.994,30.31,80.47,144.9,140.4,94.15,66.83,33.29,13.91,6.761,5.689,5.369,12.09,17.04,72,200.2,210,158.5,47.21,38.48,13.29,8.901,6.091,6.43,14.84,21.69,80.7,115.4,188.6,153.5,93.65,44.4,9.029,6.684,4.884,5.35,6.366,25.61,85.08,154,215.4,128,83.26,41.34,8.883,7.272,6.402,5.94,11.32,16.61,111.5,172.4,176,136.9,54.18,34.62,13.42,5.786,6.074,6.56,19.13,40.27,129.6,209.9,159.5,137,76.85,40.5,10.9,6.784,5.26,9.982,8.136,27.24,66.18,145.1,154.7,117.2,79.92
Armenia,HDD_16,529.8,437.9,353.6,264.5,124.4,9.065,1.828,3.873,18.15,149.7,321.5,439.8,618.9,556.6,436.8,263.7,122.8,23.96,2.417,13,49.37,232,531.6,614.5,610.5,656.5,552.4,182.8,69.2,17.79,10.5,2.836,28.05,134.5,313,565.6,629.6,465.4,394.4,215.2,96.09,28.78,10.29,10.37,45.16,235.8,328,697.8,615.9,527.2,364,201.9,64.09,24.75,5.37,0.7348,40.02,202.8,433.9,513,602.4,479.8,420,254.5,108.8,10.41,2.992,10.24,16.39,174.2,390.2,611.8,646,456.4,381.2,205.6,93.78,32.26,10.34,0.9831,67.28,223.7,466.1,717.8,774,662.7,428.3,245.5,94.22,23.57,3.482,1.575,21.62,217.8,385.2,521.2,553.2,424.7,292,217.9,81.67,25.02,1.685,6.629,25.89,161.1,371.6,498.7,609.2,497.4,450.2,283.2,70.01,8.584,6.56,6.616,52.18,127.6,413,497.7,639,540.4,333.9,287,100.2,14.61,5.062,16.94,19.67,139.1,373.5,568.4,637.8,459.1,449.6,142.1,64.22,12.29,6.239,2.194,47.9,221.6,348.9,578.4,672.8,466.3,513.1,179,139.8,14.59,8.329,1.739,25.21,155.9,334.7,509.4,607.2,556.4,287.3,206.1,102.8,19.73,7.266,2.052,38.05
