Country,parameter,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Norway,Global horizontal irradiance (surface),30695,117583,290604,570617,750263,749132,638621,507279,325737,135212,47349,17150,27686,113222,308607,546993,706732,696394,635344,503855,284848,132593,36616,13918,27341,104717,279420,570102,781459,767630,595853,500342,291179,140343,33438,14880,31675,114658,358359,586165,733739,734072,703071,517192,313896,126852,40129,12555,24797,88245,291355,560483,758728,815528,799023,517333,325594,126230,32871,13802,26031,99483,294070,560150,687613,759544,644297,568329,294407,131886,37896,12405,27551,115785,286269,583302,748880,761555,640303,486404,298190,160073,40881,12903,27817,107775,293598,586714,740720,736567,683632,489237,293476,130352,39665,13388,26201,119236,337352,571568,805632,751690,815055,474702,300192,138356,33764,12879,27456,97446,296270,625990,706008,699882,732374,504318,311258,143781,41776,12674,25021,106997,300204,580127,822428,860807,677300,535713,291629,126114,33343,10897,32109,112178,286659,624640,738416,772125,738303,525430,278564,117019,37368,14261,26236,110890,324810,608855,715435,770718,642923,503099,309254,118735,31719,14826,25540,106011,316007,585710,719177,864138,673241,470649,282315
Oman,Global horizontal irradiance (surface),783500,868216,1036680,1107819,1116285,1042510,934303,962255,953872,909537,807097,760744,754809,895397,1040518,1093322,1114151,1081746,991690,944064,935968,897719,707427,749072,784613,894067,1054327,1078334,1143032,1085634,987076,957301,948174,920828,796824,707938,786686,900338,1015044,1071290,1118826,1034784,940619,908630,951793,902524,776049,748300,763274,877884,970920,1121119,1131989,1085044,1000042,965413,929816,898859,794453,750294,787437,903234,992593,1148068,1131751,1029763,1002786,980606,944736,892743,785727,732687,770620,892695,965842,1047131,1130958,1027224,986231,959112,950343,902223,807100,738197,776170,861001,1001564,1147655,1111185,1063406,980291,953836,937604,922827,798450,739779,797132,877224,1038755,1108742,1089313,1078434,1008871,954070,953799,841442,778567,740771,775772,861433,991844,1090828,1113786,1067248,996075,957333,916849,893554,761201,668263,748854,891072,977510,1089413,1084012,1056793,922175,902907,968725,925776,788216,735057,801467,890569,1049097,1100558,1112321,1085334,928256,974713,905147,891989,814251,725961,756617,907673,1049212,1124379,1171866,1056200,826350,904756,944327,917559,797184,713141,743336,909443,975753,1060214,1123550,1067058,950205,964976,947678
Pakistan,Global horizontal irradiance (surface),608451,718988,939600,1058002,1130252,1090894,941713,818967,871929,797611,665998,591955,613679,674347,909560,1046334,1156514,1118129,974498,851408,785681,782670,616734,583554,596850,747152,935603,1015925,1149347,1131040,1025701,902546,793039,790339,651743,549218,625768,676909,901481,1019019,1171186,1078840,954857,840115,888869,772532,637950,580739,608682,737268,852033,1046438,1098319,1141061,992603,949237,869558,768997,645837,577465,604606,695849,841467,1061128,1140019,1094916,904376,919580,901146,777772,635318,575883,597389,787295,836372,1035048,1138914,1095975,955987,902829,895532,793687,657723,582575,556757,725940,898539,1096702,1116403,1076330,933070,921646,886052,809608,646588,571005,633449,726377,929308,1058696,1154796,1107383,981817,937762,895175,790482,639201,587075,575841,687277,853483,1019350,1124091,1124607,976047,875073,862587,747742,588747,555274,550971,759958,833757,1033820,1131282,1111568,991006,833055,877545,815243,638996,569792,645720,776835,915090,1065454,1129454,1122994,957980,979983,836281,782615,669671,567110,564675,764570,940560,1102886,1169517,1112466,776702,764644,887312,808079,638773,570520,602390,760209,857404,1025976,1099939,1080938,919320,972296,888282
Palau,Global horizontal irradiance (surface),729647,950814,945300,877691,810956,809846,778325,768032,875365,815483,767718,735202,753021,764154,818375,865157,728008,646355,659343,781572,739564,821485,759672,665820,775139,780554,867553,869902,727579,725761,736235,751412,697127,791012,749931,747144,718849,807808,916592,856805,823611,679658,747241,741553,784724,812144,743227,748571,695878,799429,928886,923927,832350,742314,690852,867630,735211,799265,775296,707368,801832,799407,957189,977750,950050,736180,905802,841865,894993,927152,794026,785240,846455,923248,982201,903094,776648,759037,761982,801420,777060,690301,675980,655628,671345,732558,809195,918237,799815,747070,705703,872234,752739,744162,738568,660280,727302,821616,915210,922786,867891,769289,683259,789369,808044,837708,797916,750004,713177,921682,907638,865461,895881,705764,752316,780734,868240,843690,744173,709994,821379,825610,939686,871028,812621,705580,824242,816028,896904,708025,723654,613463,706745,738050,848022,830797,698565,828632,765249,864262,795626,774291,770140,668488,786837,763677,817720,770224,713452,819697,661996,792810,795158,669543,751472,688226,637154,797379,913422,901787,804138,696532,639957,738433,762423
Panama,Global horizontal irradiance (surface),788080,762044,821730,765950,697070,620543,618773,614932,643289,595196,507209,545013,721811,833089,858249,804580,699338,640241,630680,694373,666380,564924,535812,581587,752158,841285,871908,769999,704179,683573,625424,664146,687117,625492,568658,659860,785529,834656,797359,819554,656047,633072,628310,639016,657760,638139,659294,680076,760101,840186,893980,799483,709046,622169,645494,667242,670453,602250,604099,639665,757852,821949,890235,820680,691536,676515,637619,655903,679750,666930,608116,717579,790000,839126,886035,848101,699286,647555,610772,652531,657538,634132,479663,656122,782867,861806,868441,844863,643020,658993,603624,663061,657939,619181,593682,658861,663659,861354,876884,804073,671861,600822,619057,657778,679388,643470,606620,766327,784182,840406,905346,838007,631015,658113,659089,637784,668802,647464,643166,618045,743645,858455,933699,822818,663151,645894,646879,633870,694607,639197,592168,673462,740704,814633,870526,764172,663775,656290,651021,644946,672984,663036,589641,670972,775864,855405,858958,753433,671422,595255,616792,651770,681006,639149,539375,724070,749122,862273,880342,907266,770285,669734,661041,684907,708803
Papua New Guinea,Global horizontal irradiance (surface),683696,768683,667383,681172,639784,651858,636013,686236,785936,807321,813817,793030,815433,782138,749062,692712,613717,501730,525487,596041,639686,794816,790635,696187,674224,804858,660397,721271,571353,545701,582286,582995,634290,755370,739706,807357,669548,724409,676323,619899,655333,548786,535802,635501,719970,695048,751041,678249,650131,720945,759351,652796,631069,548614,489389,646362,618706,737903,778411,732192,691133,688950,708161,681988,608508,569761,642409,746418,791019,847097,820398,751510,767064,723971,713667,633588,670627,583411,592445,647234,672402,717866,758781,674395,697474,721841,705424,581108,628338,553059,505421,647326,691389,747050,747660,675226,740911,758892,659747,677376,647400,566713,547832,621592,643602,748863,760370,748491,699031,790706,627884,629552,618288,538125,558147,569030,687053,715108,714348,814823,725505,747772,638978,667471,609256,604671,593376,666336,696055,724789,719763,739723,792358,657101,738026,631498,626164,607513,618892,675952,695442,821522,814509,687831,701800,699104,796941,707035,709915,671750,652007,717919,829469,893522,826870,691804,774776,688027,758583,671475,541031,587735,581472,645568,692263
Paraguay,Global horizontal irradiance (surface),938102,849547,831997,645601,492974,453554,444407,701315,691952,851328,1003932,1005845,975180,730253,750178,651940,554186,448804,445332,620362,829716,882773,975433,1009106,1043071,917486,886730,571958,543258,446388,498562,664560,839159,860394,884245,967165,1065597,909853,771608,690692,503970,367090,535134,654955,737089,795676,963052,1016847,928621,913216,747055,642204,449190,368098,494895,674575,736145,945349,883202,913858,976117,882065,825192,636510,439868,452721,437824,647955,745769,776128,761592,867518,960197,847695,750954,675786,420264,441088,535268,641539,811569,883141,981098,973251,1069699,901470,787375,586884,369248,475130,583090,644371,785975,850821,969267,942828,917948,906077,746205,767377,589702,392921,495679,627265,745759,703985,869463,1038160,1012579,917142,748535,593221,435749,489329,489355,691084,786720,879508,975935,1004204,961650,966920,915545,806689,613006,443478,525781,659966,837462,960551,1013446,1007397,868472,989769,831159,701502,551630,419064,584463,657054,794994,827927,914812,1111837,1098939,1029819,841605,676868,531210,468441,568605,649628,684513,831475,1119595,1069453,1041349,927032,844968,664566,500121,494134,477067,674086,749681
People's Republic of China,Global horizontal irradiance (surface),447817,563826,740907,854772,888743,919856,864041,822657,694068,592653,485911,416085,451988,576235,755040,910031,949477,922323,892021,851951,708343,591889,454305,402093,430534,559936,738257,897161,948337,897807,858977,830164,712241,604670,452415,387597,458420,566446,780442,895101,923093,926393,870880,843529,727884,616795,467812,422878,479753,557526,745768,874089,934079,895245,900121,802432,701885,614294,445278,412391,447613,573130,740123,888383,930306,895520,927399,822565,686356,607801,420273,378805,430104,600721,749519,855911,917160,931816,880823,808957,697748,546557,443118,398213,437301,585527,721757,869449,978988,905680,897033,792250,711880,557727,456598,410080,435806,589924,757412,891974,943199,908843,851814,793382,697031,605012,452622,377487,432767,547453,757395,877922,930383,917092,872941,820564,749841,585015,457019,405839,424850,575878,737349,902197,952999,904104,859999,800697,670451,572661,453706,400447,465940,583196,717504,835740,933953,913063,883325,782971,730034,555107,462467,407334,425506,562431,734885,893539,913729,909167,928459,828963,743480,591238,443593,407466,465390,556252,753416,874698,934570,944657,880620,800712,720710
Peru,Global horizontal irradiance (surface),796099,769818,783021,745455,687565,683330,713493,829752,897195,896581,877430,827094,793140,732533,735196,709646,699567,665541,708410,808150,854282,874376,874945,781322,795578,722052,744730,713474,712691,688986,726675,821439,879161,860727,870881,760112,806501,737503,731269,797412,674906,658924,692044,768672,891557,856876,866963,838412,751376,757586,725653,747362,679840,666880,691659,798132,853768,889879,858389,797741,742017,750936,718446,693980,670744,671383,705040,809975,899359,906552,873271,844687,874060,721238,744326,749148,718564,667982,731468,820233,870644,881500,921146,818983,722508,754112,717465,722742,684717,664297,734186,822942,844977,888533,836291,828269,782904,776071,748710,721215,691734,650450,698636,778046,915390,823675,825348,811951,737097,718257,737297,739523,718046,672044,710102,838518,875032,864020,829308,773504,806043,753636,753814,758366,696586,685692,718868,831393,865327,928134,909445,766320,758074,799822,730127,726608,709009,659477,736080,825036,875647,890198,828675,823269,844673,753662,720419,742061,698786,695476,726196,811321,901369,919138,946228,858012,819323,742435,735804,728809,692547,710141,747676,843398,900454
Philippines,Global horizontal irradiance (surface),672342,890857,925762,956309,939695,828739,763105,775929,808461,702419,648671,602120,569284,698777,731081,887301,772568,722057,733013,764240,753185,749467,667346,582495,674838,705409,798457,927049,832139,762148,702847,825779,694676,732559,733699,669994,599648,770402,890812,924376,858537,724530,721249,709284,738421,733340,664662,634128,599283,788826,868007,899990,906717,780001,694634,811298,727386,717123,694886,596511,669166,807998,939790,966800,937355,791530,778464,798627,776158,774363,744690,683115,766161,775909,932216,989087,881821,780783,781051,761007,751877,661699,659807,612303,598634,730565,821534,920693,814603,819803,689222,778381,749267,672484,669672,585745,615017,748468,893461,932832,905914,789757,705285,763868,767019,815588,728101,647161,693910,884076,941878,969516,887695,804551,740367,758038,794744,805052,673684,667975,729786,814973,934071,979371,886909,788316,786675,743317,788461,611793,658400,597770,575781,714593,838974,895104,865915,806144,786064,805668,751961,667340,669641,606306,675871,732558,818525,774759,814176,828873,745134,743942,773306,691608,674388,576131,526099,734677,893027,917042,848930,781483,720708,824184,774738
