Country,parameter,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Spain,HDD_18,313,261.6,237.7,125.8,87.73,21.27,1.63,2.078,15.22,93.98,218.3,297.9,302.4,239,217.5,77.13,32.57,19.3,6.654,2.687,4.885,48.99,151.5,268.5,303.2,326.3,194.5,169,52.19,10.25,5.938,2.51,15.34,77.27,181.6,265.7,282.2,268.5,213.4,148.2,105.5,25.36,0.7047,1.749,6.686,44.48,203.6,296.1,254.5,234.6,196.4,83.06,52.69,9.022,4.28,3.253,6.092,25.74,144.6,286,315.2,274.4,197,109,31.86,9.265,0.8241,2.816,17.45,62.19,151.6,223.8,234.9,229.1,230.9,143.7,69.01,11.18,1.786,1.036,10.17,49.37,186.6,255,322.7,205,176.4,104.4,33.35,6.689,2.439,2.776,15.53,34.69,189.8,289,269.1,288.4,227.7,129,61.15,15.85,1.147,1.214,2.768,77.77,177.8,245.9,312.4,222.1,176.8,148.6,54.68,16.96,1.448,1.626,8.041,54.51,191.9,229.7,292.2,182.3,191.8,119.7,31.52,17.11,1.772,3.607,13.95,93.69,149.1,266.9,323.1,188.8,203,141.6,60.15,12.24,4.785,2.501,10.11,56.84,218.2,233,306.2,209.2,211,153.9,29.76,7.603,0.8652,0.7726,13.65,18.82,135.3,202.4,299.3,264.3,150.7,76.75,45.16,3.967,0.8239,1.997,6.593
Spratly Islands,HDD_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,HDD_18,0,0,0,0,0,0,0,0,0,0,0,0,0.1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01964,0,0,0,0,0,0,0,0,0
State of Palestine,HDD_18,116.2,100.1,52.8,9.627,0.2063,0,0,0,0,0,2.079,94.25,161.9,129.3,101.7,32.57,1.176,0,0,0,0,0.4068,90.42,166.4,222.2,190.1,143.3,11.53,0,0,0,0,0,0,23.18,118.1,186.8,115.8,60.22,31.74,0.008759,0,0,0,0,0.03621,9.119,194.2,165.1,127.2,63.81,13.12,0.1541,0,0,0,0,0.2446,43.57,98.69,205.6,152.3,80.42,49.68,0.4145,0,0,0,0,0.3193,15.85,171.6,212.9,106.2,62,5.752,0,0,0,0,0,0,29.92,178.9,211.8,179.4,85.18,13.76,0,0,0,0,0,0,26.34,90.42,169.7,80.81,33.84,7.526,0,0,0,0,0,0.3435,17.23,121.8,194.5,149.8,125.5,49.45,1.948,0,0,0,0,0,19.37,121.6,202.4,148.2,79.49,30,0.4526,0,0,0,0,0,23.55,92.23,135.4,113,101,31.7,0,0,0,0,0,0,10.37,119.9,212.2,147.4,174.5,9.932,0.3305,0,0,0,0,0,13.81,86.29,139.7,169.4,64.26,26.84,0.9159,0,0,0,0
Sudan,HDD_18,0.8488,1.194,0.08666,0,0,0,0,0,0,0,0.005524,1.521,6.708,0.2867,0.07966,0.0002928,0,0,0,0,0,0.0008202,1.129,2.447,6.054,0.5082,0.4452,0,0,0,0,0,0,0,0.1468,2.926,3.259,0.6734,0.003892,0,0,0,0,0,0,0.002263,0.02129,7.919,2.901,0.9978,0.01752,0,0,0,0,0,0,0,0.4185,1.587,17.99,0.481,0.003198,0.0685,0,0,0,0,0,0.00002933,0.1203,7.859,12.6,2.388,0.002595,0,0,0,0,0,0,0,0.03492,2.089,1.734,2.612,0.04459,0,0,0,0,0,0,0.00005991,0.4595,0.8795,7.573,0.3598,0.001941,0,0,0,0,0,0,0,0.08702,2.958,2.188,1.401,0.1053,0.002796,0,0,0,0,0,0,0.02892,2.132,11.31,2.75,0.06857,0,0,0,0,0,0,0,0.2735,0.6554,1.749,2.844,0.1891,0.006081,0,0,0,0,0,0,0.03949,2.496,9.524,3.646,0.6313,0,0,0,0,0,0,0.00003488,0.178,3.016,3.135,2.334,0.004851,0.003365,0,0,0,0,0
Suriname,HDD_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard and Jan Mayen Islands,HDD_18,882.9,877.2,1105,861.2,629.4,530.4,459.1,506,546.8,699.8,976.2,1047,1131,934.5,1039,801.1,696,516,464.2,470.9,490.7,706.7,802.6,849.6,744.8,749.9,806.1,899.2,696.3,522.8,466.6,476.8,521.5,689.7,813.6,864.2,891.3,902.8,1123,925.3,685.5,496.1,444.1,447.8,496,773.1,865.9,917.4,797.9,630.8,923,945,731.6,535.5,447.8,494.6,574.2,699.5,849.9,966.2,894.2,1000,864.1,792.7,729.6,515.5,468,451,536.9,674.9,722.7,815.2,751.7,746.8,833.2,818,596.5,490.5,416.8,466.7,493.4,538.7,628.3,805.1,964.7,777.8,1058,924.3,802.2,515,453.2,474.9,468,611.4,714.9,765.5,799.8,723.8,1024,886.8,582.4,508.6,428.7,451.1,552,660,719.2,824.5,944.2,892.1,1066,776.4,721.8,509.7,448.5,494.6,546.7,766.1,822.4,974,1062,1070,1218,918.5,659.2,505.5,427.7,449.5,519,675.6,693.7,859.4,868.3,783.6,941.7,812.7,758.2,523.9,469.7,472.9,510.7,720.6,904.3,842.9,966.6,929,876.3,943.8,724.5,480.9,406.5,452.6,507.5,669.3,646,880.7,745.5,753.5,1070,799.4,702.1,496,414.7,416.1,574.7
Swaziland,HDD_18,1.13,0.08783,0.5611,15.62,37.73,116,107.4,75.93,18.21,20.82,9.084,4.6,0.9105,0.3198,0.1517,19.32,42.05,108.3,151.4,107.6,24.13,18.86,10.45,3.977,0.5937,0.05942,1.628,30.09,40.72,86.55,85.29,57.26,51.49,19,14.21,1.83,0.73,0.6504,4.395,33.99,57.38,86.04,92.71,64.66,39.27,43.5,9.254,5.926,0.108,0.05908,2.727,23.67,37.19,93.07,116.3,53.58,28.75,31.18,14.97,1.777,0.565,1.252,2.381,12.69,20.01,87.87,76.95,39.51,38.22,4.032,8.397,1.012,0.7064,0.06748,1.276,9.723,44.85,70.83,102.1,57.96,24.21,28.6,10.22,2.981,2.265,2.263,4.617,17.57,48.97,73.19,68.32,62.69,27.71,29.44,19.56,9.744,3.876,0.7978,5.553,8.517,39.46,83.52,117.7,59.13,20.1,44.54,20.39,2.423,2.78,0.1814,0.8238,6.927,40.37,93.48,67.08,30.66,44.14,17.27,5.506,16.38,0.7952,3.884,3.49,16.68,53.18,122.1,120,71.89,46.73,24.43,6.125,3.232,1.634,2.6,2.481,14.94,47.83,103.2,131.2,71.93,42.06,39.95,14.52,6.739,0.737,0.1886,3.676,28.41,48.14,134.7,88.03,63.13,24.81,3.088,6.723,4.711,2.082,0.1909,2.413,7.192,41.49,61.86,112.7,72.71,23.62
Sweden,HDD_18,793.1,672.5,586.2,387.3,261.5,127.3,22.88,72.55,205.1,377.3,549.7,797.2,649,639.2,545.6,300.4,237.1,84.86,32.39,72.56,149.6,314.7,382.4,494.6,601.3,626.6,443,415,226.9,163.1,63.93,77.93,192.2,364.7,416.1,677.1,671,575.3,666.8,422.2,186.9,95,41.75,65.76,190.1,304,431.5,468.4,618.4,449.6,439.7,341.6,237.2,130.8,18.39,86.2,166.3,276.2,395,555.2,547.5,490,466,357.4,282.2,150.8,83.27,50.19,167.1,332.7,400.4,455.1,701.3,529.6,487.7,385,193.3,89.23,45.16,85.76,115.5,348.4,487.2,499.6,589.1,518.1,482,412.5,235.8,112.7,70.34,81.58,172.9,311.9,450.4,527.3,574.6,617.1,636.4,356.8,116.1,72.99,8.868,56.74,149,312.3,425.8,539.6,626.3,465.3,483.8,342.5,262,59.51,70.62,49.19,181.4,348.9,447,486.5,447.3,459.1,475.9,354.7,281.2,55.27,91.66,52.54,151.3,290.1,356.2,461.6,629.2,589.2,478,408.6,264.6,46.31,11.54,94.26,175,286.8,437.1,623.1,541.7,488.8,489,400.4,233.3,77.99,49.76,42.43,197,263.7,385.8,621.6,531.6,494.2,555.7,392.3,216.8,58.44,66.24,69.95,94.59
Switzerland,HDD_18,652.9,524.8,469.9,292,245,99.13,41.35,87.38,181,318.6,427.7,625.1,571.6,468.4,407.6,224.3,142.7,97.78,102.7,50.69,95.68,292.7,395.1,497.2,538.4,664.3,372.3,327.6,172,79.94,59.92,38.1,150.8,283.7,398.7,553.7,579.1,576.9,510.9,312.9,266,122.5,25.09,56.4,139.4,235.3,454.1,558.8,510.7,436.9,391.8,267.7,218.7,77.25,72.74,100.4,127.2,212,363.9,504,543.4,542.9,413.4,292.3,176.9,65.87,22.98,47.27,188.2,307.6,361.1,476.8,522.9,448.8,463.7,317.8,215,103,45.17,48.67,97.67,325.2,427.5,558.2,683.6,433.8,348.3,325.4,169.7,47.02,43.4,48.33,193.6,257.7,450.2,568.4,456.8,571.9,479.7,211.6,142.3,52.5,22.22,37.97,95.93,251.6,396.5,490.3,603.6,449.7,398.1,315.1,271.5,57.21,28.42,42.07,125.2,227.1,420.6,482.9,529.5,398.7,424.5,225.7,175.7,102.4,35.79,50.04,113.5,307.8,394.5,529,589.4,430.8,442.5,359.2,272.3,51.98,55.31,85.57,103,303.4,458,537.7,564.9,433.4,408.7,316.3,123.8,42.39,19.28,22.64,157.6,170.6,368.8,513.5,532.9,454.2,390.9,337.3,175.4,30.26,28.58,59.61,63.6
